date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-09-15,Orebro,Sundsvall,2,1,2.37,3.37,2.96,2.42,3.44,3.06,Allsvenskan,,20180915_Orebro_Sundsvall,0.0,1.27,0.42,4,1,12,3,50.7,49.3,4,4,0,1,6,2
2018-09-15,Ostersunds,Malmo FF,2,3,3.96,3.53,1.92,4.23,3.64,1.93,Allsvenskan,,20180915_Ostersunds_Malmo-FF,0.0,0.79,0.65,2,3,6,7,57.7,42.3,0,5,0,0,5,5
2018-09-16,Djurgarden,Brommapojkarna,0,1,1.31,5.39,9.97,1.33,5.08,11.79,Allsvenskan,,20180916_Djurgarden_Brommapojkarna,0.0,0.68,1.11,3,6,7,13,53.5,46.5,2,1,0,0,2,3
2018-09-16,Goteborg,Elfsborg,2,2,2.33,3.39,3.02,2.49,3.43,3.02,Allsvenskan,,20180916_Goteborg_Elfsborg,0.0,0.2,1.37,2,5,4,10,41.1,58.9,1,0,1,0,3,7
2018-09-16,Norrkoping,AIK,2,0,3.13,3.2,2.36,3.26,3.31,2.4,Allsvenskan,,20180916_Norrkoping_AIK,0.0,1.49,0.75,4,3,10,7,47.0,53.0,0,1,0,0,6,5
2018-09-17,Hacken,Trelleborgs,2,1,1.21,6.48,13.41,1.23,6.52,15.14,Allsvenskan,,20180917_Hacken_Trelleborgs,0.0,0.65,2.05,2,7,3,18,46.3,53.7,3,0,0,0,1,8
2018-09-17,Kalmar,Dalkurd,0,0,1.5,4.23,6.5,1.51,4.44,7.08,Allsvenskan,,20180917_Kalmar_Dalkurd,0.0,1.09,0.5,4,0,9,2,47.0,53.0,1,4,0,0,6,2
2018-09-17,Sirius,Hammarby,1,1,5.21,4.29,1.58,5.56,4.38,1.61,Allsvenskan,,20180917_Sirius_Hammarby,0.0,1.6,1.44,5,5,9,11,51.1,48.9,1,1,0,0,3,5
2018-09-21,Brommapojkarna,Sundsvall,1,3,3.2,3.54,2.17,3.22,3.64,2.21,Allsvenskan,,20180921_Brommapojkarna_Sundsvall,24.0,1.02,0.71,2,3,5,6,55.3,44.7,1,0,0,0,6,6
2018-09-22,Dalkurd,Norrkoping,0,2,5.21,4.09,1.62,5.31,4.18,1.64,Allsvenskan,,20180922_Dalkurd_Norrkoping,-12.0,1.32,1.69,5,4,12,10,44.6,55.4,2,5,0,0,8,4
2018-09-22,Elfsborg,Orebro,1,0,1.67,3.88,4.97,1.69,3.92,5.3,Allsvenskan,,20180922_Elfsborg_Orebro,-12.0,0.5,1.07,1,4,5,9,44.1,55.9,1,3,0,0,2,6
2018-09-22,Sirius,Ostersunds,0,1,3.09,3.51,2.23,3.16,3.6,2.26,Allsvenskan,,20180922_Sirius_Ostersunds,12.0,0.35,0.05,1,1,4,2,53.7,46.3,0,1,0,0,8,0
2018-09-22,Trelleborgs,Djurgarden,0,3,5.98,4.35,1.52,6.25,4.69,1.5,Allsvenskan,,20180922_Trelleborgs_Djurgarden,0.0,0.42,1.12,0,4,0,9,43.5,56.5,5,1,0,0,1,2
